time,value
0,-0.015753718446473795
1,0.29279901288556953
2,0.5238975122742483
3,0.7152658991281776
4,0.8786345012821554
5,0.9709391596706566
6,1.0163950098707926
7,0.9683780295205594
8,0.8562025215887679
9,0.6607632843411191
10,0.5016742706581904
11,0.2629649441060116
12,0.020594607270570723
13,-0.2529179370826332
14,-0.47801310651264667
15,-0.6786176524353229
16,-0.8726893116038191
17,-0.9335634082243913
18,-1.0091907591268157
19,-0.9637219639363205
20,-0.9050188506024134
21,-0.6987923434188664
22,-0.5386866614726837
23,-0.28966819960732654
24,-0.0041895768868114155
25,0.2548623352436714
26,0.5207518452548411
27,0.7235611650033986
28,0.8352014335935275
29,0.9595483336130993
30,1.0055077612854055
31,1.0045025858452155
32,0.8575714810401309
33,0.6866085926811604
34,0.4980906396569818
35,0.25133397752128067
36,-0.01908355869556168
37,-0.2549430918860919
38,-0.5198504168572579
39,-0.7053094655173873
40,-0.8701915783865772
41,-0.9614754476897451
42,-1.004319339393673
43,-0.9680998668167528
44,-0.9041704464652056
45,-0.7049119703365241
46,-0.4337143067860806
47,-0.26789251263437713
48,-0.05069589012998247
49,0.2547675633152291
50,0.5187554360890916
51,0.7277449673841416
52,0.8356559450935062
53,0.9713248028532859
54,0.96887400483575
55,0.948344656427785
56,0.8706951330029229
57,0.6917370762317848
58,0.485269519680869
59,0.2356123966381798
60,0.024786913673763167
61,-0.29483366963944774
62,-0.500660211815694
63,-0.7029982432269409
64,-0.8415546433538887
65,-0.9608712475624667
66,-0.9733919589301794
67,-0.9888625740250498
68,-0.8783667589774221
69,-0.7094265230116974
70,-0.4857841127033367
71,-0.22470903099104225
72,-0.011385261477510913
73,0.2730809752263005
74,0.5236476367948034
75,0.6974075711738412
76,0.8914034856284041
77,0.9538585732380753
78,1.026593154746635
79,0.9717451578033565
80,0.8598137000168907
81,0.7217358788668742
82,0.49891415308630627
83,0.25098704092037716
84,-0.04997361983041588
85,-0.24714431634161907
86,-0.49895214229792173
87,-0.7095214247651677
88,-0.8551144154333715
89,-0.9650140280870083
90,-1.0341140153217665
91,-0.9619915362219348
92,-0.8637495753884167
93,-0.7221960147198588
94,-0.4663913760544291
95,-0.2555444017089995
96,-0.01752519338350399
97,0.2773712063354958
98,0.47639649750132446
99,0.6927207005676778
100,0.8380677876626585
101,0.9765719514276329
102,0.9834923636708316
103,0.9754060435943662
104,0.8677904350659479
105,0.6975043498182371
106,0.4977149089561558
107,0.23981174666275498
108,0.00792732609323018
109,-0.24286519074080776
110,-0.5202612713267367
111,-0.6685169245494271
112,-0.8877002545380525
113,-0.9827706380252191
114,-1.0179481010744078
115,-0.9742107266449442
116,-0.8488735618683151
117,-0.6813622488804654
118,-0.5234606413800111
119,-0.27354260907183425
120,0.026159659250056536
121,0.22538230247210417
122,0.505706268339198
123,0.7126695735811451
124,0.8773116853688346
125,0.9343026067018633
126,0.9924412635102545
127,0.9816007951627757
128,0.8652115223642618
129,0.7008804405163694
130,0.5051115857338746
131,0.2471551606073982
132,0.025855019981332064
133,-0.24804861467851264
134,-0.5139431902217019
135,-0.7214887593489697
136,-0.854109985390293
137,-0.9590969964860172
138,-0.9913288822532836
139,-0.9871191581802546
140,-0.8698751226917356
141,-0.7150412206822957
142,-0.47985256376514845
143,-0.2687707731682084
144,0.007961487395198839
145,0.23768375592217844
146,0.5009533572564799
147,0.7073825596311454
148,0.8697117891485264
149,0.9683564369200743
150,1.0005436128318461
151,0.9406193965267993
152,0.8589161193170808
153,0.7176154389988495
154,0.5002015495549078
155,0.2123572546582138
156,-0.02752139053794755
157,-0.27112614911770594
158,-0.5173124240842237
159,-0.7028085744496814
160,-0.9075944146059314
161,-1.0066516329245045
162,-1.0087146731255132
163,-1.0050865526902955
164,-0.8675688236261464
165,-0.7052067901401111
166,-0.5350632270876204
167,-0.2342052748888164
168,-0.021827172876559928
169,0.27951641443751873
170,0.4831598200117317
171,0.7122337267632289
172,0.8477841216888728
173,0.9668129923729926
174,0.9751799454720094
175,0.9589994019206344
176,0.8341300328425535
177,0.7259123964655538
178,0.49538082094130004
179,0.24188491679661342
180,0.005553917840550702
181,-0.24513647639471284
182,-0.4782935224465468
183,-0.7054928185019499
184,-0.8717657254486497
185,-0.9407980026143138
186,-0.9766060750797306
187,-0.9144502956530687
188,-0.8556479846933642
189,-0.697913373212692
190,-0.46966183646073145
191,-0.2505310125372598
192,-0.03369521102386503
193,0.274098704509105
194,0.5153947301760587
195,0.7377573645630128
196,0.8565254695242251
197,0.9415367359963656
198,1.0130654243775823
199,0.956926166873165
200,0.8901406859508618
201,0.698768074934407
202,0.47314389776746407
203,0.2658344652587303
204,0.019276749028850095
205,-0.2873891173046921
206,-0.48033996136697643
207,-0.7319343899919244
208,-0.8661855923313382
209,-0.9611771427975268
210,-1.016294526675345
211,-0.9739622292836153
212,-0.8978959383612949
213,-0.7243724274294505
214,-0.5528829218206653
215,-0.26772203563142477
216,0.05808376573349539
217,0.2339723024877474
218,0.5008832613088214
219,0.7183854280929238
220,0.8591247711997029
221,0.9493641323775447
222,0.9811754336652819
223,0.9634006647437212
224,0.8380205361670263
225,0.7293328745214656
226,0.5166163650376606
227,0.23047571918569099
228,-0.006955704445863543
229,-0.24289819614183178
230,-0.4869459659887852
231,-0.7072747124013806
232,-0.8686671420086243
233,-0.9528282025876135
234,-0.9833215944309416
235,-0.9309790854328726
236,-0.8365910648812983
237,-0.7152921645450678
238,-0.4810225259308888
239,-0.23626431553665084
240,-0.015075662890685388
241,0.2869800478192228
242,0.5269792433440965
243,0.7286690275453919
244,0.8671204013222651
245,0.9744479558554398
246,1.0437815812972606
247,0.9558394998070306
248,0.8122168879880453
249,0.7554562425901549
250,0.514794739944216
251,0.2833925686734503
252,0.03803652444827589
253,-0.2510429079980607
254,-0.4673534122354415
255,-0.6800599130413586
256,-0.85052946999939
257,-0.9553008086323997
258,-1.0073873507028392
259,-0.984375298695295
260,-0.865026886324984
261,-0.6950985030085246
262,-0.4887194721756229
263,-0.2951374263733449
264,-0.005823497635378263
265,0.26379093441446727
266,0.4991733165271636
267,0.6839662820797382
268,0.8719181896454892
269,0.9743617555240076
270,1.011284837466076
271,0.9554505806738712
272,0.8796745885919004
273,0.6794183420550274
274,0.4892246533723069
275,0.26398331129467406
276,0.028590171985019588
277,-0.24345208739607654
278,-0.5197877504278481
279,-0.7058997348355892
280,-0.8870951618421977
281,-0.9557408737621992
282,-0.9563469394234626
283,-0.977118067377237
284,-0.8723246460412653
285,-0.7590756551716192
286,-0.4861103448073223
287,-0.25437965284968284
288,-0.010196376582382526
289,0.2749430855851955
290,0.5218288125893863
291,0.720264419433886
292,0.8788396924035278
293,1.0029145748745198
294,0.9822003796020977
295,0.9729975700548084
296,0.8363124264414453
297,0.6850886655661823
298,0.5091229324443792
299,0.26883957556635285
300,-0.009908172277080008
301,-0.23926747944386936
302,-0.511157955075922
303,-0.7218899383346202
304,-0.903352249255624
305,-0.9586754591255227
306,-0.9742899106333345
307,-0.9491452893559709
308,-0.8888504079389149
309,-0.6777952716829765
310,-0.5190248897500682
311,-0.24366972701511297
312,-0.009181631076632685
313,0.2419587011367548
314,0.46743978077406245
315,0.7056611511968425
316,0.8245468561853564
317,0.9759547649410477
318,0.9838239608346406
319,1.0075320795400735
320,0.815638685534379
321,0.7017820812037496
322,0.5330775741268015
323,0.29460691485236545
324,-0.01657051539879848
325,-0.2976167672677713
326,-0.5042589411833094
327,-0.6966798710594769
328,-0.8784965283023104
329,-0.9571014968143732
330,-1.0298781952225653
331,-0.93945391353947
332,-0.8804058917440255
333,-0.7027468583268527
334,-0.495452030668862
335,-0.2934375544861977
336,-0.01271380266592521
337,0.2528860907350462
338,0.515305875666816
339,0.6956738311246449
340,0.8559750085271363
341,0.9510717723335037
342,0.9948274634288558
343,0.9656119031661904
344,0.8771242768923283
345,0.7183384722645118
346,0.5087193038532594
347,0.24212564646435014
348,0.009281980503049767
349,-0.2594746374778487
350,-0.5098693750445236
351,-0.7029212344737926
352,-0.8820765663624207
353,-0.9824438259139785
354,-1.0041276636772771
355,-0.9714847263872487
356,-0.878741442713748
357,-0.7062790845987239
358,-0.4900611217813549
359,-0.2652019531007385
360,-0.007858200145316227
361,0.2732235326917411
362,0.49459755437175323
363,0.690774241384955
364,0.8710077527269087
365,0.9801705398929043
366,0.9876909149006391
367,0.9277701541760142
368,0.9075296720267889
369,0.735618159831079
370,0.5210495097990389
371,0.2713485308210815
372,-0.014633315230955854
373,-0.24911746274540725
374,-0.4922517705303769
375,-0.6795545531281573
376,-0.8665601031105884
377,-0.9894073252172321
378,-1.0073993926726563
379,-0.9706554106789286
380,-0.8406540434895785
381,-0.7078919175510909
382,-0.5462139886286459
383,-0.2503244902904601
384,-0.0005437970549003854
385,0.2741013035894806
386,0.4769438962059152
387,0.7196535347595268
388,0.8452077647106104
389,0.9640717729200868
390,1.0060372245056373
391,0.9739287780411101
392,0.8728992985156507
393,0.7043541091909881
394,0.47214678315246084
395,0.24317349688114867
396,-0.0008455674245311218
397,-0.28196770651805864
398,-0.49050240823838104
399,-0.7225813367499353
400,-0.8732439483367714
401,-0.9701128089812442
402,-1.0124056876728387
403,-0.9210530372121586
404,-0.87950599830081
405,-0.6845964616181097
406,-0.5155020593996106
407,-0.2785524520495445
408,0.022394146554002955
409,0.2723332610379089
410,0.524858902160508
411,0.7221468369307487
412,0.8431497163523182
413,0.9704192237845127
414,0.9773395185659756
415,0.9916477953504942
416,0.9075775360203796
417,0.6921275943400651
418,0.49719795701821623
419,0.2515318731260074
420,-0.001110784329671286
421,-0.2293197119799219
422,-0.4761902605574907
423,-0.6856632442181786
424,-0.8991192183234064
425,-0.9913885344263887
426,-0.9870896834939429
427,-0.9528594027163017
428,-0.8535562005545198
429,-0.7294951498035879
430,-0.5045256951514832
431,-0.23741444026110578
432,-0.029336636199289803
433,0.24169816999746874
434,0.49000350549770694
435,0.6851365096974376
436,0.8458401142632453
437,0.9731509598668484
438,0.9876557161934433
439,0.9280998290572804
440,0.8614699700071913
441,0.728657211697126
442,0.5088096074557537
443,0.2535784013336266
444,-0.020599106892398668
445,-0.2307952712875605
446,-0.46813951377549484
447,-0.7072673277188591
448,-0.8633718639574871
449,-0.97095291988942
450,-0.9941099098284935
451,-0.9762289233723627
452,-0.8746755980206704
453,-0.6789092841684118
454,-0.4849470657998242
455,-0.2492226754187875
456,0.0003670508330953891
457,0.2616627283410282
458,0.4375118702036921
459,0.6962908767923863
460,0.8444295763874414
461,0.9952678998655472
462,1.0029651546676086
463,0.9570481177441623
464,0.8815358257259378
465,0.7268588716486776
466,0.49765790858950687
467,0.22477069188211585
468,-0.021885325517925863
469,-0.2553605613179688
470,-0.468300230608934
471,-0.7522117699867972
472,-0.8672924573790237
473,-0.9589051354375139
474,-0.9916362997207347
475,-0.9372140052201805
476,-0.8847344677040845
477,-0.6934069432229881
478,-0.4811846006107355
479,-0.276429669100682
480,0.005945661330230946
481,0.21660390993892728
482,0.5084149810017161
483,0.7311365183260589
484,0.8732281791098565
485,0.9958786165960638
486,1.0007585576346911
487,0.9755544054726775
488,0.8698402472141724
489,0.7074989242361633
490,0.4607707970066004
491,0.2469252954732384
492,-0.0073130845551790695
493,-0.2765737678055042
494,-0.5108015461382508
495,-0.7281411380635294
496,-0.87081088702047
497,-0.9656758362238774
498,-0.9941852394843079
499,-0.9897461100356607
500,-0.8428600306126082
501,-0.7303925509410786
502,-0.51198649020565
503,-0.26812442859916574
504,0.011119657543272099
505,0.2804893245164472
506,0.4885965839843125
507,0.7293730509908506
508,0.8509442385331923
509,0.96174439185684
510,1.004965399350577
511,0.950147954117642
512,0.8655874787654331
513,0.7164179014007944
514,0.5170722892139784
515,0.24215057697800887
516,-0.004296604320558607
517,-0.21546618139604856
518,-0.510963866481501
519,-0.7373799761093754
520,-0.8553682564367774
521,-0.9871099333792532
522,-1.036412227397672
523,-0.9526951422522258
524,-0.8633991024466561
525,-0.691209888430324
526,-0.4855261206782919
527,-0.2623244868515229
528,-0.014436094323221975
529,0.20691102508679277
530,0.5044492760209417
531,0.7077910127727882
532,0.866344845633858
533,0.9946325571021837
534,0.9929373091532685
535,0.9417131955914224
536,0.8779650682313448
537,0.6828867414744443
538,0.4965476917368291
539,0.2438279667162761
540,0.03827914687850332
541,-0.23073634624433195
542,-0.5001152070502148
543,-0.6979336673194724
544,-0.8592425261746066
545,-0.9457482486427766
546,-1.0198278958392035
547,-0.9492787314770994
548,-0.8767346944814811
549,-0.7128991283529995
550,-0.47485590277125883
551,-0.295357112763252
552,-0.014764131519278367
553,0.27029072371801016
554,0.5041590501472948
555,0.7274521617918267
556,0.8675661016142217
557,0.9636763198605817
558,1.0431434020275483
559,0.9688341481072617
560,0.8528783615927257
561,0.6537740985631534
562,0.5008477710897808
563,0.23772552851135048
564,-0.015660146233218722
565,-0.24648272441187263
566,-0.5058669006219125
567,-0.7104845591769047
568,-0.8844398353440902
569,-0.9565414131601311
570,-0.9779611045383714
571,-0.993139662968751
572,-0.8606741482842973
573,-0.711963550828867
574,-0.5324006349856689
575,-0.23625361071457432
576,-0.004726711972461666
577,0.23707184335846235
578,0.5062969199608347
579,0.7296347738947164
580,0.8318161311441311
581,0.984398145506076
582,0.9794112999394479
583,0.9844439196836903
584,0.8297961470602766
585,0.6742534091093287
586,0.47006275768092537
587,0.25056156241774347
588,-0.016592813402674003
589,-0.2758085218280652
590,-0.4880432558291138
591,-0.7251894279168933
592,-0.8436747411233236
593,-0.9872192311317138
594,-0.9904123429455015
595,-0.9423529052493943
596,-0.8470049137371546
597,-0.696732642379841
598,-0.4632678002639828
599,-0.2507503414981759
600,-0.006920646218205283
601,0.2367675781363459
602,0.494950594775906
603,0.7171947790080269
